date,86_age,87_age,88_age,89_age,90_age,91_age,92_age,1_age,2_age,3_age,4_age,5_age,6_age,7_age,8_age,9_age,10_age,11_age,12_age,13_age,14_age,15_age,16_age,17_age,18_age,19_age,20_age,21_age,22_age,23_age,24_age,25_age,26_age,27_age,28_age,29_age,30_age,31_age,32_age,33_age,34_age,35_age,36_age,37_age,38_age,39_age,40_age,41_age,42_age,43_age,44_age,45_age,46_age,47_age,48_age,49_age,50_age,51_age,52_age,53_age,54_age,55_age,56_age,57_age,58_age,59_age,60_age,61_age,62_age,63_age,64_age,65_age,66_age,67_age,68_age,69_age,70_age,71_age,72_age,73_age,74_age,75_age,76_age,77_age,78_age,79_age,80_age,81_age,82_age,83_age
25.06.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
26.06.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
27.06.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
28.06.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
29.06.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
30.06.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
01.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
02.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
03.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
04.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
05.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
06.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
07.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
08.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
09.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
10.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
11.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
12.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
13.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
14.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
15.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
16.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
17.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
18.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
19.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
20.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
21.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
22.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
23.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
24.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
25.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
26.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
27.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
28.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
29.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
30.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
31.07.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
01.08.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
02.08.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
03.08.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
04.08.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
05.08.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
06.08.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
07.08.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
08.08.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
09.08.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
10.08.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
11.08.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
12.08.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
13.08.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
14.08.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
15.08.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
16.08.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
17.08.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
18.08.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
19.08.2023,2314,4487,3615,2491,2661,1037,1677,72,1375,1975,2185,917,1259,1731,1283,602,979,316,1728,2726,2660,2296,1188,3874,806,1135,1380,799,2670,3097,672,1292,1490,862,1128,2123,170,1197,2327,334,2360,1662,2443,1782,1786,2400,1388,1097,796,702,1136,693,678,2334,2949,549,903,444,236,1342,2361,2172,36,1003,934,907,1026,1259,1862,1364,429,0,2105,920,1960,2544,2253,1986,724,322,242,1434,910,606,753,465,847,1352,1224,131
